expense_id,employee_id,dept,avg_monthly,category,amount,policy_limit,vendor,date,day_of_week,is_weekend,payment_mode,has_receipt,receipt_mismatch,is_duplicate,amount_over_limit,exceed_ratio,amount_vs_avg,recent_submissions,flag_count,flags,is_fraud
EXP-00001,E001,Finance,2860,Travel,2686.81,15000,Zomato,2025-06-18,2,0,UPI,1,0,0,0,0.1791,0.9394,4,0,,0
EXP-00002,E002,Marketing,5092,Entertainment,2018.03,4000,MakeMyTrip,2025-04-18,4,0,Credit Card,1,0,0,0,0.5045,0.3963,7,0,,0
EXP-00003,E003,HR,7334,Travel,8858.41,15000,MakeMyTrip,2025-06-15,6,1,Cash,0,0,1,0,0.5906,1.2079,12,3,Weekend Claim|Missing Receipt|Duplicate Claim,1
EXP-00004,E004,Marketing,5171,Food,3465.43,2000,Uber,2025-05-15,3,0,UPI,0,0,0,1,1.7327,0.6702,11,2,Exceeds Policy Limit|Missing Receipt,1
EXP-00005,E005,HR,3685,Hotel,12419.29,8000,MakeMyTrip,2025-05-18,6,1,Cash,0,0,1,1,1.5524,3.3702,8,4,Exceeds Policy Limit|Weekend Claim|Missing Receipt|Duplicate Claim,1
EXP-00006,E006,Finance,9581,Entertainment,834.68,4000,OYO Rooms,2025-06-02,0,0,Debit Card,1,0,0,0,0.2087,0.0871,2,0,,0
EXP-00007,E007,Finance,8420,Fuel,481.92,3000,MakeMyTrip,2025-05-21,2,0,Cash,1,0,0,0,0.1606,0.0572,3,0,,0
EXP-00008,E008,Sales,6117,Entertainment,4725.04,4000,Swiggy,2025-05-04,6,1,Debit Card,1,0,0,1,1.1813,0.7724,13,3,Exceeds Policy Limit|Weekend Claim|Unusually Frequent,1
EXP-00009,E009,Engineering,9728,Fuel,1824.52,3000,Swiggy,2025-06-27,4,0,Cash,1,0,0,0,0.6082,0.1876,2,0,,0
EXP-00010,E010,Sales,4047,Hotel,2892.0,8000,Flipkart,2025-05-06,1,0,Credit Card,1,0,0,0,0.3615,0.7146,4,0,,0
EXP-00011,E011,Operations,9101,Food,1456.57,2000,Flipkart,2025-07-05,5,1,Credit Card,1,0,0,0,0.7283,0.16,4,1,Weekend Claim,0
EXP-00012,E012,HR,3899,Food,1587.04,2000,Uber,2025-06-04,2,0,Debit Card,1,0,0,0,0.7935,0.407,3,0,,0
EXP-00013,E013,Engineering,5202,Food,1673.25,2000,Ola,2025-05-17,5,1,Credit Card,1,0,0,0,0.8366,0.3217,1,1,Weekend Claim,0
